Cebir I 1. Ders - Ondokuz Mayıs Üniversitesi - Prof. Dr. Şenol EREN
https://www.youtube.com/watch?v=cZE98HkEbJI&list=PLub7HBm_2dVArrlRwX0Kpd94UlHAdE6yk

Ders notları
https://acikders.ankara.edu.tr/course/view.php?id=1011

Time		Subtitle		Translation
00:00:04		 değerli arkadaşlar yeni öğretim yılı sizlere ve bizlere   		Dear friends, I hope the new  academic  year  will  be  beneficial  for  you  and  us. 
00:00:09		 Hayırlı olur inşallah eğer bir aksilik olmazsa Cebir bir derslerini birlikte   		If nothing  goes  wrong,  we 
00:00:14		 işlemeye çalışacağız ben bu programın sizlere çok faydalı olacağını   		will try to teach Algebra lessons together. I think this program will  be  very  useful  for  you. 
00:00:20		 düşünüyorum bunun için ciddi ciddi hazırlıklar yaptık İnşallah sizler bu   		We  have  made  serious  preparations  for  this.  I  hope  you 
00:00:25		 programdan çok faydalanırsınız ve bunun neticelerini hep birlikte alırız şimdi   		will benefit from this program and we  will  get  the  results  together. 
00:00:30		 Bunu söyleyerek derslerime başlamak istiyorum Bu cebi bir dersinin ilk   		Saying this now  I want to start my lessons. The first  subject  of  this  Algebra  lesson  is 
00:00:36		 konusu temel kavramlar bizim Cebir'de önemli bir şey vardır temel kavramlar   		basic concepts. There is  an  important  thing  in  Algebra.  It  is  very  difficult  to 
00:00:41		 tam oturmazsa bu dersin yapılması oldukça güçtür O yüzden ben size şimdi   		do this lesson if the basic concepts are not well established. That 's  why  I  will  try  to 
00:00:46		 temel kavramları birer birer tanıtmaya çalışacağım temel kavramların içerisinde   		introduce you the basic concepts one by one. Among  the  basic  concepts,  the 
00:00:51		 en önemli olan sayılar arkadaşlar sayı kümelerini Siz birinci sınıfta gördünüz   		most important ones are numbers, friends, number sets.   You  saw  it  in  the  first  grade, 
00:00:57		 ama ben şimdi teker teker bunları fazla uzatmadan üzerlerinde durmak istiyorum   		but now I want to go over them one by one without further ado. 
00:01:02		 bizim en küçük sayı kümemiz doğal sayılar kümesi bildiğiniz gibi sıfırdan   		Our smallest set of numbers is the set  of  natural  numbers,  as  you  know,  it  starts  from  zero  and 
00:01:08		 başlayıp 1 2 3 4 diye gidiyor ikinci sayı kümemiz tam sayılar kümesi Bu da   		goes like 1 2 3 4. Our  second  set  of  numbers  is  the  set  of  integers.  This 
00:01:14		 eksi sonsuzdan bir -1.01.23 diye gidiyor Yine burada hemen şunu da belirtelim bu   		goes from minus infinity to -1.01.23. Again   Let's  also  point  out  here  that  this  is 
00:01:20		 bütün sayılar için geçerli Ama biz daha çok bunu bizim sayı kümelerinde   		valid for all numbers. But we mostly  use  it  in  our  number  sets. 
00:01:25		 kullanıyoruz tam sayıları iki kısma ayırabiliyoruz   		We  can  divide  integers  into  two  parts, 
00:01:29		 sıfır hariç işte Z artı ile gösterdiğimiz pozitif tam sayılar Z   		except for zero. Here are the positive  integers,  which 
00:01:34		 eksiyle gösterdiğimiz negatif tam sayılar yine çift tam sayılar kümesini   		we show with Z plus. The negative integers, which we show with Z minus. 
00:01:39		 iki elle tek tam sayılar kümesini de 2n1 ile gösteriyoruz Bu arada Z tam   		We  denote  the  set  with  2n1.  By  the  way,  there  is 
00:01:46		 sayılar kümesi için geçerli olan bir şey var enz ile tabir ettiğimiz küme öyle   		something valid for the set of integers Z. The 
00:01:52		 elemanlardan oluşuyor ki n'nin katları olan küme bunu da yine Cebir derslerinde   		set  we  call  enz  consists  of  such  elements  that  they  are  multiples  of  n. 
00:01:57		 çokça kullanacağız Şimdi burada enz'den kastımız nedir diye sorarsanız işte   		We will use this a lot in Algebra lessons. Now, if  you  ask,  what  do  we  mean  by  enz  here?   For 
00:02:02		 Mesela 5N dediğimizde 5 ve 5'in 5z dediğimizde   		example, when we say  5N,  5  and  5  are  5z, 
00:02:07		 pardon 5 ve 5'in katı olan elemanlar anlaşılacak yine tam sayılardan sonra   		sorry, we will understand the elements that are multiples of 5 and 5. Again,  after  integers, 
00:02:12		 bildiğiniz gibi rasyonel Beyler kümesi var rasyonel sayılar kümesi nasıl   		as you know, there is a rational set of Gentlemen. 
00:02:16		 oluşuyor derseniz işte AB tam sayı olmak üzere a/b şeklinde oluşan sayılar Tabii   		If you ask how the set of rational numbers is formed, here are the numbers  formed  in  the  form  of  a/b,  AB  being  an  integer.  Of  course, 
00:02:23		 paydası sıfırdan farklı yine rasyonel olmayan sayıları da ı ile gösteriyoruz   		We  denote  non-rational  numbers  with  a  denominator  other  than  zero  by  ı. 
00:02:29		 Bunlar yine Siz analiz dersinde bunları gördünüz reel sayılar kümesiyle rasyonel   		These are again: You saw these in the analysis course, and the 
00:02:35		 sayılarla rasyonel olmayan sayıların birleşiminden oluşan küme yine şu   		set  consisting  of  the  combination  of  rational  numbers  and  non-rational  numbers.  It 
00:02:40		 şekilde söylemek daha Mümkün olacak sayı doğrusunu biliyorsunuz sayı doğrusunu   		will be possible to say it like this: You  know  the  number  line,  the 
00:02:45		 reel sayılar dolduruyor ne demektir Bu sayı doğrusu üzerinde her noktaya bir   		real numbers fill the number line, what does it mean? On  this  number  line.   It  means  that  a  real  number  corresponds  to  every  point,  and 
00:02:51		 reel sayı her reel sayıya bir nokta karşılık geliyor demektir Yine bir reel   		a point corresponds to every real number. There is also  a  real 
00:02:57		 boyutu Bir de karmaşık boyutu olan karmaşık sayılar kümesi var işte Reel ve   		dimension. There  is  also  a  set  of  complex  numbers  with  a  complex  dimension.  We  denote 
00:03:02		 imajinal kısmından oluşan onu da süslü c ile gösteriyoruz   		it with the fancy c, which consists of real and imaginary parts. It 
00:03:07		 Burada şunu belirtmekte de yarar var Özellikle sayı kümesi işte harflerle   		is also useful to point out the following here. Especially  the  set  of  numbers 
00:03:13		 verilmiştir Bu sayı kümesi üzerine Yıldız koyduğumuzda bu şu demektir O   		is given with letters. When  we  put  a  star  on  this  number  set,  it  means  that  it  is  the 
00:03:18		 sayı kümesinde sıfırın çıkartılmış şeklidir sayı kümelerini bu şekilde   		subtraction of zero in that number set. 
00:03:23		 özetledikten sonra biz bu sayı kümeyye kümeleri üzerinde işlemler tarif   		After summarizing the number sets in this way, we will describe  operations  on  these  number  sets 
00:03:29		 edeceğiz ve bu işlemlerin sonucunda en küçük yapıdan itibaren bütün yapıları   		and as a result of these operations, we 
00:03:34		 kurmaya çalışacağız yine burada şunu hatırlatmakta yarar var arkadaşlar   		will try to build all structures starting from the smallest structure. Again, it is  useful  to  remind  this  here,  friends, 
00:03:40		 bakın Cebir dersinde önemli bir nokta var   		look. There  is  an  important  point  in  the  Algebra  lesson. 
00:03:44		 Sizler Cebir dersinde en küçük yapıyı tanıyacaksınız ve diğer bütün derslerde   		You will get to know the smallest structure in the Algebra class and 
00:03:51		 inşa ettiğiniz şeyler bu Yapı üzerinde olacak ve bu Yapı üzerinde tarif edilen   		the things you build in all other lessons will be on this Structure and  with  the  operations  described  on  this  Structure. 
00:04:04		 uzayı ve modülü kavramlarını tanıyacaksınız ilk başlığımız bağıntılar   		You  will  get  to  know  the  concepts  of  ring  object  vector  space  and  module  as  the  smallest  semi-group  group.  Our  first  title  is   Relations, 
00:04:09		 bu kısımda özellikle bağıntıyı tarif edeceğiz ve bu tarif ettiğimiz bağıntı   		in this section, we will especially describe the relation, and 
00:04:16		 sayesinde bizim çokça kullandığımız sizin de soyut matematik dersinde   		thanks to the relation we have described, we will focus on the equivalence and order relations that we use a lot and that you  see  in  the  abstract  mathematics  course. 
00:04:21		 gördüğünüz denklik ve sıralama bağıntıları üzerinde duracağız özellikle   		Especially  the  equivalence  relation  and 
00:04:27		 denklik bağıntısıyla sıralama bağıntısı Cebir derslerinde oldukça önem arz   		the order relation are very  important  in  Algebra  lessons. 
