Time		Subtitle		Translation
00:00:14		WEBVTT   -[adam] Mehmet abim, çikolatalı aldım ha. -[gülme sesi]   [adam] Sever misin?   		A csokisat vettem meg. Szereted? 
00:00:18		 [Mehmet] Sade püsküütten iyidir be koçum.   		Jobb, mint a keksz. 
00:00:19		 -[adam] Püsküüt. -[gülerler]   		Keksz! 
00:00:20		 Başkan, sarı mı istiyorsun, beyaz mı?   		Főnök, limonádét vagy narancsitalt? 
00:00:22		 -Vay vay vay. -Sen beyazdan koy.   		- Nahát, nahát! - Limonádé. 
00:00:24		 -Abi gel, gel. -Vay, başkanım!   		- Csatlakozz hozzánk, testvér! - Főnök! 
00:00:27		 -Kaç oldun Mehmet abi? -66'ya bağladık be gülüm.   		- Szóval hány éves vagy? - Hatvanhat, haver. 
00:00:30		 -Hiç göstermiyorsun vallahi. -İstemedin ki göstereyim.   		- Nem nézel ki annyinak. - Nem szóltál, hogy kellene. 
00:00:36		 ♪ İyi ki doğdun... ♪   		Boldog szülinapot... 
00:00:37		 Bir dakika, bir dakika, bir dakika. Üflesin de rahatlayalım.   		Fújd el a gyertyákat, és faljuk fel a tortát! 
00:00:40		 -Hadi Mehmet abiciğim! -Üfleyeceğim de gaza gelme.   		- Hajrá, Mehmet! - Megpróbálom, de ne reménykedjetek! 
00:00:43		 -♪ İyi ki doğdun Başkan! ♪ -[adam] Helal Başkan!   		- Boldog szülinapot, drága főnök! - Ez az! 
00:00:47		 Bravo Başkan.   		Gyerünk, főnök! 
00:00:48		 Yapıştır!   		Gyerünk! 
00:00:53		 [Mehmet] Kapıda yat bir saat.   Ondan sonra, "Alo, Salih Ağa sağlık ocağına."   		Vagy egy órát vártam ott. Aztán azt mondta: "A kórházba." 
00:00:57		 -On kağıt, oh. Ye Mehmet, ye. -[gülerler]   		Tíz dollárért. Hogy képzeli? 
00:01:00		 Bir de fiş, aman ya Rabbi.   		Elképesztő. Jó ég! 
00:01:02		 -On liraya? -Tabii, dünyayı aldık ya.   		- Tíz dollárért? - Igen, mintha az olyan sok lenne. 
00:01:06		 -İyi akşamlar. -İyi akşamlar, buyurun.   		- Jó estét. - Jó estét. 
00:01:09		 -Taksi hangisi? -Bende.   		- Kié az első kocsi a sorban? - Az enyém. 
00:01:15		 Zamanlaman kötü Güven abi.   		Rossz időzítés, Guven testvér. 
00:01:27		 Sırayı yaktırırdım da neyse işte.   		Engem nem érdekel a sor, de mindegy. 
00:01:29		 -Konuştun mu kızla? -Yok.   		- Beszéltél a lánnyal? - Nem. 
00:01:30		 Ya yok, ne konuşması abi. İki ay oldu, iki ay!   		Kizárt, főnök. Két hónapja volt. Két hónapja! 
00:01:34		 Oğlum, belki konuşmak istemiyorum.   		Mi van, ha nem akarok beszélni vele? 
00:01:36		 Ya ben o kızı hiç görmedim, yeni taşındı galiba.   		Még sosem láttam ezt a lányt. Biztos most költözött ide. 
00:01:39		 Abi, geçen bunun arabaya binmiş, yol boyu kızı aynadan kesmiş bizimki.   		Nemrég ő vitte taxival, főnök. És végig bámulta a csajt. 
00:01:43		 -Kesin durağa şikayet edecek var ya. -Ne alakası var ya?   		- Szerintem panaszt fog tenni. - Nem fog. 
00:01:47		 Ne o, âşık mı oldun ibiş? Git konuş o zaman.   		Beleszerettél? Akkor beszélned kell vele. 
00:01:50		 Instagram'dan bul, Facebook'tan bul abi.   		Keresd meg az Instagramon vagy a Facebookon! 
00:01:53		 Bana bırak, beş dakikada bulurum diyorum, bana da bırakmıyorsun ha.   		Percek alatt megtalálnám, ha hagynád, de nem hagyod. 
00:01:55		 Abi, belki konuşmak istemiyorum.   		Talán nem akarok beszélni vele. 
00:01:58		 Ben öyle uzun uzun onun gözlerine bakayım, o bana baksın.   		Inkább szemezni akarok vele órákon keresztül. 
00:02:01		 Öyle uzun uzun, karşılıklı yani.   		Csak mi ketten összefonódott tekintettel. 
00:02:03		 -Kız senden uzun yalnız ha. -[aynı anda] Siktir lan.   		- Magasabb, mint te. - Menj a francba! 
00:02:07		 Hayır, gözlerini denk getirebilirsen... [güler]   		Lehet, hogy nem érsz fel a szeméig. 
00:02:09		 -Sikerim bak belanı ha! -[adam] Pasta getireyim mi abi?   		- Húzz innen! - Kérsz tortát, tesó? 
00:02:13		 İbneye bak!   		Az a rohadék! 
00:02:23		 -♪ Gözlerimde senin gözlerin kaldı ♪ -[eşlik eder]   		A tekinteted az enyémbe fonódott 
00:02:28		 ♪ Ellerimde senin ellerin kaldı ♪   		Kezed a kezemben 
00:02:33		 -♪ Giden yıllarımda yıllarım kaldı ♪ -[ses yükselir]   		Oly sok évet vesztegettem el nélküled 
00:02:39		 Ya bu kafayı yemiş arkadaş ya. Tövbe ya Rabbi.   		Megőrült. Te jó ég! 
00:02:42		 -♪ Sabah olmadan ♪ -[eşlik eder]   		Napkelte előtt 
00:02:45		 ♪ Seni düşündüm sabah olmadan ♪   		Rád gondoltam Napkelte előtt 
00:02:54		 Kolay gelsin, bir mendil rica edebilir miyim acaba?   		Jó napot, papír zsebkendőt szeretnék kérni. 
00:02:59		 Aa... Bir de şu naneli sakızdan.   		És rágót. 
00:03:04		 Sakızı ben ikram etsem size?   		Meghívhatlak a rágóra? 
00:03:12		 Güven, ne yapıyorsun oğlum öyle, tuhaf tuhaf hareketler müşteriye.   		Miért viselkedsz ilyen furán a vásárlókkal, Guven? 
00:03:15		 -Ne yaptım oğlum? -Ya bir git Allah'ını seversen ya.   		- Mi rosszat tettem? - Csak húzz innen, az ég szerelmére! 
00:03:17		 Allah Allah.   		Jóságos ég! 
00:03:27		 Ya siz ne yapıyorsunuz Allah aşkına?   		Mégis mi ez az egész? 
00:03:29		 Özür dilerim.   		Sajnálom. 
00:03:31		 Yani... Bir şey demeyeyim diyorum ama dayanamıyorum artık.   		Próbálok nem szemét lenni, de elegem van. 
00:03:35		 [kadın] Her gün, her yerdesiniz be kardeşim.   Hayır, tanışıyor muyuz? Yok.   		Minden nap összefutunk, bármerre járok. Ismerjük egymást? Nem. 
00:03:39		 Ya, bu nedir böyle sokakta yürüyen her kadına?   		Minden nőt letámad az utcán? 
00:03:42		 Şey, ben orada, sakız vermek anlamında değil de...   		Nem, dehogy. Nem akartam feldühíteni a rágóval. 
00:03:45		 -Ee? -[Güven] Yani böyle bir vesile olsun...   		- Tényleg? - Csak ürügy volt... 
00:03:48		 [kekeler] Bir konuşma gibi bir şey, yani...   		hogy szóba elegyedjünk, vagy ilyesmi... 
00:03:51		 -Tabii orada bir kadına... -Bak kardeşim,   		- Persze leszólítani egy nőt... - Nézze, 
00:03:53		 kadınla erkekle bir alakası yok bunun.   		nem az a lényeg, hogy nő vagyok. 
00:03:54		 Yani, bir insan hiç tanımadığı birine merhaba der, selam der, ben bunu anlarım.   		Hanem hogy leszólít egy idegent. Ráadásul tegezve. 
00:03:59		 Yani bir de koskoca adamsınız.   		Egy felnőtt férfi! 
00:04:02		 Siz böyle hangi filmde, hangi dizide görüyorsunuz bunları?   		Melyik tévéműsorból vette azt a mozdulatot? 
00:04:05		 -Yok, ben dizi izlemiyorum. Ben orada... -[kadın iç çeker]   Ee... Saçmaladım da yani,   		Nem nézek tévét. Oké, nem volt jó ötlet. 
00:04:08		 terbiyesizlik yapmak anlamında bir şey yapmak istemedim.   		De nem akartam megsérteni. 
00:04:10		 Hayır, nedir yani, iş o noktaya gelir diye illa böyle tedbirli mi gezelim, bu mu?   		Jobb, ha egy nőnél mindig van ilyen? 
00:04:15		 Yok, gaza gerek yok ya, öyle bir şeye gerek yok yani.   		Semmi szükség a sprayre. Tényleg semmi szükség. 
00:04:17		 Gerek var diye demiyorum zaten, sakız arıyorum çantamda.   		Tudom, hogy nincs. Igazából rágót kerestem. 
00:04:22		 -Alabilir miyim onu? -Tamam, ben bunu hak ettim. Tamam.   		- Visszakaphatnám? - Oké, megérdemlem a spray-t, 
00:04:25		 Ama siz, ne olur sakızı kabul edin.   		de kérem, fogadja el a rágót! 
00:04:27		 -Alabilir miyim lütfen? -O zaman ismini söyle vereyim.   		- Megkaphatnám a spray-t? - Mondja meg a nevét, és visszaadom. 
00:04:32		 -Aa! -Tamam o zaman, al. Al!   		Jó. Tessék! 
00:04:36		 Ya, ne yapıyorsun sen ya? Ver şunu bana!   		Mit művel? Adja vissza! 
00:04:40		 -Biber... Biber şeyi... -[kadın kekeler]   		Paprika... paprikaspray. 
00:04:43		 İyi misiniz? Ya, ne yaptın kardeşim ya?   		Jól van? Miért csinálta ezt? 
00:04:45		 Dur, dur. İyiyim iyiyim. Bir şeyim yok. Bir şeyim yok. Ben hak ettim ama.   		Jól vagyok, minden oké. Megérdemeltem. 
00:04:48		 -İyi misin, görebiliyor musun beni? -Çok az görüyorum.   		- Lát? Jól van? - Látok, bár alig. 
00:04:51		 -[kadın] Nasıl göreceksin... -Çok az görüyorum da   		- Hogy volt képes... - Alig látom magát. 
00:04:53		 ama çok az görüyorum, yani daha fazla görüşsek?   		Úgy értem, örülnék, ha gyakrabban látnám magát. 
00:04:56		 Üf!   		Jó ég! 
00:04:58		 Bir... Bir yüzünü falan yıkaman lazım senin.   		Mossa meg az arcát! 
00:05:01		 -Tamam, affettin mi ama? -Ben gidiyorum, geç kaldım bak.   		- Oké, de megbocsátott? - Késésben vagyok, mennem kell. 
00:05:04		 Tamam ama ismini söylemedin bak.   		Nem mondta meg a nevét. 
00:05:06		 -Bir su tutun gözünüze. -[Güven] Tamam.   		- Mosson arcot és szemet! - Oké. 
00:05:08		 Görüşürüz!   		Viszlát! 
00:05:12		 Ne oldu lan, hayırdır?   		Mi bajod? 
00:05:14		 -Kimsin? -Benim, Caner.   		- Ki vagy? - Én vagyok az, Caner. 
00:05:16		 Kız çok tatlı ya. [iç çeker]   		Olyan édes! 
00:05:19		 -Gidiyor mu? -Gidiyor.   		- Elmegy? - Igen. 
00:05:21		 -Meral'miş adı. -Meral miymiş?   		- Úgy tudom, Meralnak hívják. - Meral? 
00:05:24		 -Ha. -Keşke sana sorsaydım.   		Tőled kellett volna megkérdeznem. 
00:05:26		 E, ne olacak senin bu kızla hâlin?   		Mit tervezel a csajjal? 
00:05:28		 Abi, var ya,   		Haver... 
00:05:30		 gözleri gözümde, bütün ömrüm boyunca karşısına otururum abi.   		Egész hátralevő életemben csak bámulnék a szemébe. 
00:05:34		 Gel yıkayalım şu gözleri o zaman, hadi.   		Akkor jobb, ha kimosod a szemed. Gyere! 
00:05:37		 Nasıl yaktı, biliyor musun?   		Jaj, de ég a szemem! 
00:05:51		 -Bereket versin. -[müşteri] Eyvallah.   		- Szép napot. - Kösz. 
00:05:56		 [Güven] 95-95.   		Kilencvenöt. 
