Time		Subtitle		Translation
00:00:02		 [Müzik] Buyurun çağtay Bey merhaba canım ben bir   		[Music] Here,  Mr.  Çağtay,  hello  dear,  let  me 
00:00:06		 buzluk kahve alayım Lütfen ama çok buzlu Tamam   		have an ice coffee. Please, but it's too iced. Ok 
00:00:14		 [Müzik]   		[Music] 
00:00:18		 anladık Merhaba Hoş geldin Kaldırım Çiçeği Ne   		We understand. Hello, welcome, Pavement Flower.  What 
00:00:23		 içersin ya çağtay biz bu işi yürütemeyen Bak sen böyle Niye yahu diyorsun ya   		do you drink? Çağtay, we can't handle this job. Look,  why  are  you  saying  this? 
00:00:32		 benim içimden geçen samimi his şöyle sana böyle Sana ne lan etme be deyip   		My sincere feeling is like this  to  you.   I  know  I'm  going  to  say  "Don't  curse  you"  and 
00:00:37		 böyle elimi u şurasından böyle ağzına ağzına saçma biliyorum ama böyle bir dün   		put  my  hands  in  your  mouth  like  that,  but  it 
00:00:42		 ufaktan başladı bu bugün arttı ya ben sana çok kuruluyorum ya telefonda da   		started small yesterday, and it's increased today. I'm very  fond  of  you.  Is  that  why  you  hung  up  on  me  on  the  phone? 
00:00:48		 ondan mı suratıma kapattın Evet ama bir konuşma ya Bir huzur ver Çok özür   		Yes, but don't talk  to  me.  Give  me  some  peace.  I'm  sorry, 
00:00:53		 dilerim herhalde muayen günler yakın konuşmadığım zaman her şey yolunda   		I guess there will be certain days. When  I  don't  talk  closely,  is  everything  okay? 
00:00:59		 mı yolunda lan yolunda ne soruyorsun tepeden tepeden alacaklı gibi Allah'ım   		What are you asking? It's like  a  creditor.  God, 
00:01:04		 beni dilsiz yap ben niye böyleyim ya alacaklı   		make me mute. Why am I like this? 
00:01:12		 mı Ben o seslendirmeyi yapmak istememiştim insanlar arayıp şu kadar   		Is it a creditor? I didn't  mean  to  make  that  voice.  People  hate  the  man  who  calls  and  says,  "I  owe  this  much 
00:01:18		 borcum var ödemezsen süründürürüm seni diyen adamdan nefret ediyorlar tabii ki   		debt, if you don't pay, I will drag you out." Of  course, 
00:01:23		 biliyorum değiştirip dijitalize ettiğinizi   		I know, I can change it.  My beloved, whom you have digitized, 
00:01:27		 sevgılım sesimi tanımıyor ama insan kulağı hissediyor bir frekans   		does not recognize my voice, but  the  human  ear  can  feel  it,  catch  a  frequency, 
00:01:33		 yakalıyor ve telefonda yaşadıkları duyguyu hatırlayıp ağzımı burnumu   		and they remember the feeling they experienced on the phone and 
00:01:37		 dağıtmak istiyorlar küfretme küfretme bana sen de bu yüzden küfrediyor işte   		want to disturb my mouth and nose. Don't swear, don't swear at  me.  That's  why  you  swear.  If 
00:01:43		 Eğer bu gece yayınlanacak dizide benim Sesimi duyunca herkes kanal değiştirirse   		everyone  changes  the  channel  when  they  hear  my  voice  in  the  TV  series  that  will  be  broadcast  tonight, 
00:01:49		 o size dava açacağım sizi süründüreceğim Hang kampanya o o dramatik   		I will sue you, I will make you crawl Hang  campaign  o  o   Dramatic, 
